Character,Word,Subword-BPE
5431,747,766
5453,676,687
5213,652,660
5638,776,800
1040,182,235
691,136,152
2359,406,458
1252,232,284
6484,821,888
6538,892,968
6256,863,945
4496,468,479
3912,512,520
1319,252,283
968,195,226
155,25,34
1447,251,318
853,149,195
11393,2257,2768
6366,813,852
161,43,43
160,43,43
150,38,38
836,142,166
1151,174,264
180,44,47
905,152,202
798,132,182
356,77,79
612,134,156
917,153,158
673,119,120
1523,237,243
1348,230,236
646,117,119
479,113,114
786,146,151
574,112,113
618,94,119
451,88,94
486,92,98
528,95,125
1112,208,256
686,143,171
795,161,191
518,93,120
271,54,54
447,85,101
414,91,93
330,69,71
254,61,62
331,62,67
368,82,85
330,77,78
768,172,238
314,74,75
309,71,72
542,110,112
261,63,64
175,38,42
276,65,66
281,69,71
304,73,74
239,57,58
276,67,68
210,44,47
192,46,49
498,98,99
335,77,80
622,116,118
189,45,47
298,57,62
224,50,52
337,78,79
294,67,68
227,51,54
290,71,72
434,92,93
309,72,73
301,69,70
475,104,109
468,101,106
154,31,33
520,110,123
364,77,78
369,80,81
455,99,100
371,81,82
248,46,53
771,174,220
802,186,237
154,36,37
693,146,165
161,34,37
936,186,219
274,62,68
303,55,67
343,63,78
343,61,73
383,69,84
519,98,121
643,138,161
683,144,167
283,66,75
255,57,65
569,95,127
1760,380,441
2586,532,644
1768,379,442
2567,526,640
426,90,109
365,83,85
323,76,84
681,142,143
350,74,81
524,119,120
625,134,135
457,98,98
317,66,71
386,76,81
424,85,119
365,67,78
816,189,198
352,72,97
816,189,198
469,109,113
537,123,127
318,64,73
595,155,161
373,76,101
431,81,92
381,75,100
241,47,68
317,60,70
397,102,102
317,73,73
311,69,69
331,78,78
298,73,73
332,80,80
265,63,64
280,68,68
375,87,87
447,110,110
268,63,64
311,70,70
2243,473,587
5717,286,1694
228,44,46
267,52,57
268,50,52
307,58,63
892,175,208
424,77,90
352,66,76
392,74,87
392,72,82
377,70,83
432,80,93
546,109,132
138,29,30
143,31,32
156,33,34
193,44,52
236,53,56
173,39,39
223,47,47
371,79,83
421,87,91
952,212,226
470,101,104
282,60,63
505,106,109
786,186,198
322,66,69
888,205,219
826,191,203
583,124,137
957,189,216
647,140,149
655,144,153
510,92,113
697,130,154
292,52,69
735,154,178
657,124,148
775,160,184
443,82,103
99,18,20
404,92,96
447,98,107
624,136,147
937,185,212
696,149,169
521,86,112
607,134,143
504,81,100
544,87,106
691,128,146
454,100,104
633,132,145
289,56,63
746,157,177
731,134,152
603,134,143
455,74,98
664,142,153
329,62,69
474,79,94
354,75,91
643,140,141
550,116,117
409,86,87
369,80,81
546,125,126
446,96,97
603,134,135
579,130,131
504,109,110
430,75,92
309,69,75
222,53,56
550,104,130
99,20,21
97,20,20
82,16,16
105,22,22
182,38,38
103,22,22
646,148,163
686,154,169
199,36,40
451,86,100
228,48,50
237,43,48
186,32,38
202,39,45
319,56,67
197,36,38
217,40,46
352,70,71
220,39,43
491,88,95
394,78,81
360,74,84
215,37,42
976,175,203
935,143,165
1015,180,208
1051,189,214
974,148,170
281,52,58
521,99,115
409,77,87
552,106,123
147,26,32
1011,195,222
407,87,95
1143,221,294
1175,209,279
422,93,103
462,101,114
443,97,107
483,105,118
459,86,104
80,18,19
144,28,36
127,29,31
51,13,14
135,33,44
131,32,38
99,23,28
162,32,38
172,36,42
124,28,35
461,129,150
119,25,32
145,28,33
170,39,45
205,44,50
117,25,25
111,24,24
928,157,188
626,104,112
299,64,68
404,79,84
920,163,189
626,119,153
230,48,55
737,145,154
159,30,35
494,101,109
730,151,161
493,85,99
1066,203,241
914,181,194
275,54,54
506,109,119
1363,258,312
221,50,52
182,41,46
228,44,53
217,46,51
186,45,47
261,49,58
1333,241,309
419,72,93
412,73,87
235,35,53
267,48,58
183,29,40
445,76,90
159,25,36
515,90,113
451,79,93
235,35,53
406,70,84
159,25,36
515,90,113
506,105,107
596,122,126
669,144,154
837,162,165
1478,330,355
1528,338,363
360,70,74
407,77,85
124,24,24
252,52,52
112,24,26
360,70,87
122,26,29
189,43,45
208,49,51
437,95,103
405,91,96
1432,262,296
2798,527,609
2549,461,533
2855,536,618
334,65,68
757,142,150
1187,241,266
528,111,123
1163,245,270
1866,373,431
118,25,26
238,45,47
1113,237,262
1866,373,431
145,33,34
173,37,44
223,63,70
391,85,99
523,116,117
563,122,123
231,39,47
279,51,67
230,43,55
269,67,72
192,43,48
250,60,66
219,53,54
436,96,101
374,83,86
344,68,73
272,61,66
205,41,47
221,45,55
201,41,47
856,204,219
1009,232,261
724,118,141
788,129,152
321,57,60
4300,723,1045
2517,432,512
5509,948,1360
5418,933,1343
1116,154,219
269,49,54
711,129,142
4200,706,1028
1172,163,228
309,55,60
361,63,66
2433,418,498
761,137,150
231,44,45
1041,164,187
180,41,47
797,149,165
167,30,38
293,50,52
661,143,144
148,30,30
9484,1791,2286
2333,610,778
9281,1445,1976
2801,570,719
6242,1122,1515
4549,856,1081
2245,420,556
1023,227,299
32390,5801,7835
3311,614,757
24119,3692,5270
16939,3111,4135
1311,261,299
12947,2080,2922
6667,1145,1565
1637,347,415
1893,401,450
1934,402,457
1995,402,476
1900,396,448
1911,403,455
902,187,218
1950,403,474
1902,403,452
1916,407,460
1807,349,427
1036,209,251
1047,210,253
974,195,233
984,197,237
1028,207,249
1193,239,284
1083,217,258
1083,217,258
1171,239,280
1117,225,265
1175,240,280
1322,270,320
5321,944,1055
69596,11336,11818
4341,794,912
222,30,39
1275,185,241
7453,1255,1414
4144,792,899
142,24,28
76,10,19
37,8,8
1081,167,197
438,88,94
1820,313,361
7083,1369,1569
26205,4352,4571
183785,27035,28282
11713,1844,2249
454,99,116
54,10,10
255578,37071,41342
69,10,15
66,10,10
1489,242,330
2095,225,417
17601,2918,3613
7323,1117,1441
79,12,17
79,12,18
58,8,8
637,116,146
109,15,27
115,15,22
107,20,28
39180,5906,7404
8092,1366,1844
153,36,58
29347,3908,4972
12425,2292,2816
14608,3029,3610
9756,1550,1682
3136,447,512
261,42,55
881,105,156
141,19,24
13410,2049,2280
24178,3685,4036
3114,657,791
750,132,179
4541,815,937
9406,1672,1959
7336,1349,1589
30,7,7
2414,420,552
2072,272,397
10134,1834,2174
6070,1147,1348
2377,488,554
18261,3374,3769
6971,1335,1453
65472,10989,12922
36836,7090,8166
14969,2640,3290
13219,2453,2697
24628,4715,5321
27017,4530,5287
30633,5356,6071
39495,6830,7861
5583,1230,1304
7644,1627,1773
9281,1979,2219
3317,584,786
8741,1982,2358
480,84,101
1902,364,466
7744,1650,2114
4864,864,1010
20298,3939,4718
31287,6131,7291
3335,567,668
11218,2056,2407
712,145,157
6827,1194,1446
1093,214,254
54251,11060,12992
7058,1374,1626
2529,458,542
10563,2087,2509
784,125,145
1998,437,519
15403,2884,3574
8436,1519,1789
6696,1168,1387
2546,502,607
647,131,151
589,111,123
2532,594,673
73,17,17
169,36,39
67,16,20
52,10,12
73,13,15
55,10,10
47,10,10
104,23,23
36,8,8
256,54,62
327,54,57
366,66,70
3305,688,783
3296,582,646
1406,273,306
1317,254,309
2070,405,442
298,52,56
2503,572,632
616,116,143
1454,300,347
727,182,197
216,44,47
91,18,20
429,116,122
102,16,27
1024,185,248
484,120,137
954,244,252
3386,687,967
